Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-11-26,84.0,85.0,84.0,85.0,1000,0.036585365853658534,0.036585365853658534,0.03593200922606337,0.036585365853658534
2015-11-27,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-11-30,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-12-01,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-12-02,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-12-03,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-12-04,86.0,86.0,86.0,86.0,200,0.011764705882352941,0.011764705882352941,0.011696039763191236,0.011764705882352941
2015-12-08,82.5,82.5,82.5,82.5,100,-0.040697674418604654,-0.040697674418604654,-0.04154900291287239,-0.040697674418604654
2015-12-09,82.0,82.0,80.25,80.5,6200,-0.024242424242424242,-0.024242424242424242,-0.02454110891611766,-0.006060606060606061
2015-12-11,81.5,82.0,80.75,81.0,2200,0.006211180124223602,0.006211180124223602,0.00619197024792098,0.018633540372670808
2015-12-14,80.25,83.0,80.25,83.0,2500,0.024691358024691357,0.024691358024691357,0.024391453124159267,0.024691358024691357
2015-12-15,82.0,83.0,82.0,82.5,1100,-0.006024096385542169,-0.006024096385542169,-0.006042314455962586,0.0
2015-12-16,82.5,82.5,82.5,82.5,0,0.0,0.0,0.0,0.0
2015-12-17,82.5,82.5,82.5,82.5,0,0.0,0.0,0.0,0.0
2015-12-18,83.0,83.0,81.25,83.0,1100,0.006060606060606061,0.006060606060606061,0.006042314455962662,0.006060606060606061
2015-12-21,81.25,81.25,80.0,80.0,4200,-0.03614457831325301,-0.03614457831325301,-0.036813973122716316,-0.02108433734939759
2015-12-22,80.0,80.5,80.0,80.5,2000,0.00625,0.00625,0.006230549750636163,0.00625
2015-12-23,80.0,80.0,80.0,80.0,3300,-0.006211180124223602,-0.006211180124223602,-0.006230549750636086,-0.006211180124223602
2015-12-24,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,0.0
2015-12-25,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,0.0
2015-12-28,80.0,80.0,80.0,80.0,1300,0.0,0.0,0.0,0.0
2015-12-29,80.5,80.5,80.5,80.5,300,0.00625,0.00625,0.006230549750636163,0.00625
2015-12-30,80.5,80.5,80.5,80.5,500,0.0,0.0,0.0,0.0
2016-01-04,80.5,80.5,80.5,80.5,0,0.0,0.0,0.0,0.0
2016-01-05,80.5,80.5,80.5,80.5,0,0.0,0.0,0.0,0.0
2016-01-06,80.0,80.0,80.0,80.0,1000,-0.006211180124223602,-0.006211180124223602,-0.006230549750636086,-0.006211180124223602
2016-01-07,80.0,83.0,80.0,83.0,900,0.0375,0.0375,0.0368139731227164,0.0375
2016-01-08,83.0,83.0,83.0,83.0,0,0.0,0.0,0.0,0.0
2016-01-11,80.0,80.0,80.0,80.0,700,-0.03614457831325301,-0.03614457831325301,-0.036813973122716316,-0.03614457831325301
2016-01-12,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,0.0
2016-01-13,80.0,80.0,79.5,79.5,1700,-0.00625,-0.00625,-0.006269613013595374,0.0
2016-01-14,79.5,79.5,79.0,79.0,5100,-0.006289308176100629,-0.006289308176100629,-0.006309169193264721,0.0
2016-01-15,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-18,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-19,79.0,79.0,79.0,79.0,7000,0.0,0.0,0.0,0.0
2016-01-20,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-21,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-22,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-25,79.0,79.0,79.0,79.0,0,0.0,0.0,0.0,0.0
2016-01-26,82.0,82.0,82.0,82.0,100,0.0379746835443038,0.0379746835443038,0.0372713947972316,0.0379746835443038
2016-01-27,82.75,99.0,82.75,90.0,1900,0.0975609756097561,0.0975609756097561,0.09309042306601203,0.2073170731707317
2016-01-28,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
