sector,industry,symbol,ticker,bb_name
Consumer Defensive,Packaged Foods,002661.SZ,002661.SZ,002661_CH
Financial Services,Financial Conglomerates,002670.SZ,002670.SZ,002670_CH
Consumer Defensive,Packaged Foods,002695.SZ,002695.SZ,002695_CH
Industrials,Engineering & Construction,002789.SZ,002789.SZ,002789_CH
Consumer Defensive,Packaged Foods,002852.SZ,002852.SZ,002852_CH
Communication Services,Advertising Agencies,002878.SZ,002878.SZ,002878_CH
Communication Services,Entertainment,002905.SZ,002905.SZ,002905_CH
Technology,Electronic Components,002913.SZ,002913.SZ,002913_CH
Consumer Defensive,Packaged Foods,002956.SZ,002956.SZ,002956_CH
Consumer Defensive,Packaged Foods,002991.SZ,002991.SZ,002991_CH
Basic Materials,Steel,005490.KS,005490.KS,005490_KS
Technology,Consumer Electronics,005930.KS,005930.KS,005930_KS
Industrials,Electrical Equipment & Parts,006260.KS,006260.KS,006260_KS
Industrials,Electrical Equipment & Parts,010120.KS,010120.KS,010120_KS
Communication Services,Telecom Services,030200.KS,030200.KS,030200_KS
,,035900.KQ,035900.KQ,035900_KS
,,048550.KQ,048550.KQ,048550_KS
Consumer Cyclical,Internet Retail,057050.KS,057050.KS,057050_KS
Consumer Cyclical,Auto Parts,073240.KS,073240.KS,073240_KS
Industrials,Conglomerates,0001.HK,0001.HK,1_HK
Basic Materials,Building Materials,1102.TW,1102.TW,1102_TT
Industrials,Engineering & Construction,1186.HK,1186.HK,1186_HK
Consumer Defensive,Packaged Foods,1215.TW,1215.TW,1215_TT
Technology,Communication Equipment,1300.HK,1300.HK,1300_HK
Basic Materials,Building Materials,1313.HK,1313.HK,1313_HK
Basic Materials,Specialty Chemicals,1314.TW,1314.TW,1314_TT
Basic Materials,Chemicals,1326.TW,1326.TW,1326_TT
Real Estate,Real Estate—Development,1396.HK,1396.HK,1396_HK
Healthcare,Medical Care Facilities,1515.HK,1515.HK,1515_HK
Industrials,Integrated Freight & Logistics,1589.HK,1589.HK,1589_HK
Energy,Oil & Gas E&P,1605.T,1605.T,1605_JP
Financial Services,Credit Services,1606.HK,1606.HK,1606_HK
Technology,Consumer Electronics,1747.HK,1747.HK,1747_HK
Utilities,Utilities—Renewable,1798.HK,1798.HK,1798_HK
Industrials,Engineering & Construction,1800.HK,1800.HK,1800_HK
Communication Services,Telecom Services,1883.HK,1883.HK,1883_HK
Basic Materials,Paper & Paper Products,1904.TW,1904.TW,1904_TT
Industrials,Infrastructure Operations,200429.SZ,200429.SZ,200429_CH
Utilities,Utilities—Renewable,200539.SZ,200539.SZ,200539_CH
Basic Materials,Building Materials,2009.HK,2009.HK,2009_HK
Real Estate,Real Estate—Development,2019.HK,2019.HK,2019_HK
Consumer Cyclical,Auto Parts,2105.TW,2105.TW,2105_TT
Consumer Defensive,Packaged Foods,2206.T,2206.T,2206_JP
Consumer Defensive,Packaged Foods,2229.T,2229.T,2229_JP
Technology,Electronic Components,2308.TW,2308.TW,2308_TT
Technology,Computer Hardware,2405.TW,2405.TW,2405_TT
Industrials,Aerospace & Defense,2630.TW,2630.TW,2630_TT
Industrials,Aerospace & Defense,2634.TW,2634.TW,2634_TT
Consumer Defensive,Packaged Foods,2810.T,2810.T,2810_JP
Consumer Defensive,Packaged Foods,2871.T,2871.T,2871_JP
Basic Materials,Specialty Chemicals,300019.SZ,300019.SZ,300019_CH
Technology,Semiconductor Equipment & Materials,300046.SZ,300046.SZ,300046_CH
Communication Services,Advertising Agencies,300058.SZ,300058.SZ,300058_CH
Basic Materials,Specialty Chemicals,300063.SZ,300063.SZ,300063_CH
Industrials,Electrical Equipment & Parts,300076.SZ,300076.SZ,300076_CH
Technology,Solar,300125.SZ,300125.SZ,300125_CH
Consumer Defensive,Packaged Foods,300146.SZ,300146.SZ,300146_CH
Basic Materials,Specialty Chemicals,300305.SZ,300305.SZ,300305_CH
Industrials,Electrical Equipment & Parts,300376.SZ,300376.SZ,300376_CH
Communication Services,Advertising Agencies,300392.SZ,300392.SZ,300392_CH
Energy,Oil & Gas Equipment & Services,300471.SZ,300471.SZ,300471_CH
Industrials,Specialty Industrial Machinery,300510.SZ,300510.SZ,300510_CH
Industrials,Specialty Business Services,300592.SZ,300592.SZ,300592_CH
Technology,Semiconductors,300782.SZ,300782.SZ,300782_CH
Communication Services,Advertising Agencies,300805.SZ,300805.SZ,300805_CH
Communication Services,Entertainment,300860.SZ,300860.SZ,300860_CH
Industrials,Engineering & Construction,3311.HK,3311.HK,3311_HK
Basic Materials,Building Materials,3323.HK,3323.HK,3323_HK
Real Estate,Real Estate—Development,0337.HK,0337.HK,337_HK
Industrials,Airports & Air Services,0357.HK,0357.HK,357_HK
Technology,Solar,3576.TW,3576.TW,3576_TT
Communication Services,Telecom Services,3682.TW,3682.TW,3682_TT
Technology,Communication Equipment,3773.T,3773.T,3773_JP
Consumer Defensive,Packaged Foods,3799.HK,3799.HK,3799_HK
Industrials,Engineering & Construction,0390.HK,0390.HK,390_HK
Consumer Cyclical,Packaging & Containers,3947.T,3947.T,3947_JP
Consumer Cyclical,Packaging & Containers,3951.T,3951.T,3951_JP
Basic Materials,Chemicals,4004.T,4004.T,4004_JP
Basic Materials,Specialty Chemicals,4028.T,4028.T,4028_JP
Basic Materials,Chemicals,4061.T,4061.T,4061_JP
Basic Materials,Chemicals,4188.T,4188.T,4188_JP
Basic Materials,Specialty Chemicals,4202.T,4202.T,4202_JP
Basic Materials,Specialty Chemicals,4401.T,4401.T,4401_JP
Communication Services,Telecom Services,4904.TW,4904.TW,4904_TT
Consumer Cyclical,Specialty Retail,0493.HK,0493.HK,493_HK
Energy,Oil & Gas Refining & Marketing,5020.T,5020.T,5020_JP
Technology,Computer Hardware,5215.TW,5215.TW,5215_TT
Technology,Electronic Components,5233.TWO,5233.TWO,5233_TT
Technology,Electronic Components,5284.TW,5284.TW,5284_TT
Utilities,Utilities—Regulated Water,600008.SS,600008.SS,600008_CH
Industrials,Infrastructure Operations,600020.SS,600020.SS,600020_CH
Real Estate,Real Estate Services,600064.SS,600064.SS,600064_CH
Utilities,Utilities—Renewable,600116.SS,600116.SS,600116_CH
Industrials,Conglomerates,600207.SS,600207.SS,600207_CH
Energy,Oil & Gas Integrated,600256.SS,600256.SS,600256_CH
Consumer Cyclical,Lodging,600258.SS,600258.SS,600258_CH
Industrials,Industrial Distribution,600287.SS,600287.SS,600287_CH
Industrials,Railroads,600368.SS,600368.SS,600368_CH
Industrials,Specialty Industrial Machinery,600525.SS,600525.SS,600525_CH
Technology,Semiconductors,600584.SS,600584.SS,600584_CH
Real Estate,Real Estate—Development,600641.SS,600641.SS,600641_CH
Consumer Cyclical,Department Stores,600693.SS,600693.SS,600693_CH
Consumer Cyclical,Department Stores,600694.SS,600694.SS,600694_CH
Real Estate,Real Estate Services,600716.SS,600716.SS,600716_CH
Consumer Cyclical,Department Stores,600723.SS,600723.SS,600723_CH
Consumer Defensive,Packaged Foods,600737.SS,600737.SS,600737_CH
Healthcare,Medical Distribution,600739.SS,600739.SS,600739_CH
Industrials,Railroads,600834.SS,600834.SS,600834_CH
Consumer Cyclical,Department Stores,600861.SS,600861.SS,600861_CH
Utilities,Utilities—Renewable,600868.SS,600868.SS,600868_CH
Consumer Cyclical,Auto Manufacturers,600877.SS,600877.SS,600877_CH
Utilities,Utilities—Independent Power Producers,600900.SS,600900.SS,600900_CH
Financial Services,Credit Services,600901.SS,600901.SS,600901_CH
Consumer Defensive,Farm Products,600975.SS,600975.SS,600975_CH
Industrials,Conglomerates,600981.SS,600981.SS,600981_CH
Utilities,Utilities—Renewable,601016.SS,601016.SS,601016_CH
Basic Materials,Specialty Chemicals,601118.SS,601118.SS,601118_CH
Utilities,Utilities—Regulated Water,601158.SS,601158.SS,601158_CH
Utilities,Utilities—Regulated Water,601199.SS,601199.SS,601199_CH
Industrials,Railroads,601333.SS,601333.SS,601333_CH
Utilities,Utilities—Regulated Water,601368.SS,601368.SS,601368_CH
Utilities,Utilities—Renewable,601778.SS,601778.SS,601778_CH
Industrials,Engineering & Construction,601789.SS,601789.SS,601789_CH
Communication Services,Publishing,601928.SS,601928.SS,601928_CH
Basic Materials,Lumber & Wood Production,601996.SS,601996.SS,601996_CH
Communication Services,Entertainment,603103.SS,603103.SS,603103_CH
Consumer Cyclical,Department Stores,603123.SS,603123.SS,603123_CH
Consumer Defensive,Beverages—Non-Alcoholic,603156.SS,603156.SS,603156_CH
Basic Materials,Specialty Chemicals,603212.SS,603212.SS,603212_CH
Healthcare,Biotechnology,603233.SS,603233.SS,603233_CH
Technology,Electronic Components,603328.SS,603328.SS,603328_CH
Basic Materials,Specialty Chemicals,603378.SS,603378.SS,603378_CH
Consumer Cyclical,Footwear & Accessories,603477.SS,603477.SS,603477_CH
Utilities,Utilities—Renewable,603693.SS,603693.SS,603693_CH
Consumer Cyclical,Department Stores,603708.SS,603708.SS,603708_CH
Consumer Defensive,Packaged Foods,603719.SS,603719.SS,603719_CH
Energy,Oil & Gas Equipment & Services,603727.SS,603727.SS,603727_CH
Technology,Information Technology Services,603869.SS,603869.SS,603869_CH
Technology,Electronic Components,603989.SS,603989.SS,603989_CH
Technology,Electronic Components,6108.TW,6108.TW,6108_TT
