Date,Open,High,Low,Close
2018-12-07,96.0,96.0,96.0,96.0
2018-12-11,96.75,96.75,96.75,96.75
2018-12-12,97.5,98.75,97.0,97.0
2018-12-13,97.0,97.0,97.0,97.0
2018-12-14,96.75,96.75,96.75,96.75
2018-12-17,96.0,97.0,96.0,97.0
2018-12-18,95.0,95.0,94.5,95.0
2018-12-19,95.0,95.0,94.0,95.0
2018-12-20,95.5,95.5,95.5,95.5
2018-12-21,95.5,95.5,95.5,95.5
2018-12-24,95.75,95.75,95.5,95.75
2018-12-25,95.0,95.0,93.5,94.0
2018-12-26,94.0,94.0,94.0,94.0
2018-12-27,94.0,95.0,94.0,94.0
2018-12-28,94.0,94.0,94.0,94.0
2019-01-02,94.0,94.0,94.0,94.0
2019-01-03,94.0,94.0,94.0,94.0
2019-01-04,94.0,94.0,94.0,94.0
2019-01-07,94.0,94.0,94.0,94.0
2019-01-08,95.0,95.0,95.0,95.0
2019-01-09,95.0,95.0,92.0,93.5
2019-01-10,93.0,93.75,93.0,93.75
2019-01-11,93.75,93.75,93.75,93.75
2019-01-14,93.0,94.0,90.0,94.0
2019-01-15,92.25,92.25,92.0,92.0
2019-01-16,92.25,92.25,92.25,92.25
2019-01-17,92.25,94.0,92.25,94.0
2019-01-18,94.5,94.5,92.25,92.25
2019-01-21,92.0,92.25,91.5,91.5
2019-01-22,91.25,92.0,91.25,92.0
2019-01-23,92.0,92.0,92.0,92.0
2019-01-24,92.0,92.0,92.0,92.0
2019-01-25,92.0,92.0,92.0,92.0
2019-01-28,92.0,92.0,91.25,91.25
2019-01-29,91.25,91.25,91.25,91.25
2019-01-30,93.0,93.0,93.0,93.0
2019-01-31,93.0,93.0,93.0,93.0
2019-02-01,94.0,94.0,94.0,94.0
2019-02-04,94.0,94.0,94.0,94.0
2019-02-05,94.0,94.0,94.0,94.0
2019-02-06,94.0,94.0,94.0,94.0
2019-02-07,94.0,94.0,94.0,94.0
2019-02-08,94.5,94.5,94.5,94.5
2019-02-11,94.5,94.5,94.5,94.5
2019-02-12,94.5,94.5,94.5,94.5
2019-02-13,94.5,94.5,94.5,94.5
2019-02-14,94.5,94.5,94.5,94.5
2019-02-15,94.0,96.0,94.0,95.75
2019-02-18,95.75,95.75,95.75,95.75
2019-02-20,95.75,95.75,95.75,95.75
2019-02-21,95.75,95.75,95.75,95.75
2019-02-22,95.25,95.25,95.25,95.25
2019-02-25,96.0,96.0,96.0,96.0
2019-02-26,96.0,97.0,96.0,97.0
2019-02-27,97.0,97.0,97.0,97.0
2019-02-28,95.0,95.0,95.0,95.0
2019-03-01,94.75,94.75,94.75,94.75
2019-03-04,95.0,96.0,94.5,95.75
2019-03-05,96.0,96.0,95.25,96.0
2019-03-06,96.0,96.0,96.0,96.0
2019-03-07,96.0,96.0,96.0,96.0
2019-03-08,96.0,96.0,96.0,96.0
2019-03-11,97.0,97.0,97.0,97.0
2019-03-12,97.0,97.0,97.0,97.0
2019-03-13,96.0,96.0,96.0,96.0
2019-03-14,97.0,97.0,97.0,97.0
2019-03-15,97.0,97.0,97.0,97.0
2019-03-18,97.0,97.0,97.0,97.0
2019-03-19,97.0,97.0,97.0,97.0
2019-03-20,95.75,95.75,95.75,95.75
2019-03-21,95.75,95.75,95.75,95.75
2019-03-22,97.0,97.0,97.0,97.0
2019-03-25,97.0,97.0,97.0,97.0
2019-03-26,96.75,96.75,96.75,96.75
2019-03-27,96.75,96.75,96.75,96.75
2019-03-28,96.75,96.75,96.75,96.75
2019-03-29,95.5,95.5,95.5,95.5
2019-04-01,95.5,95.5,95.5,95.5
2019-04-02,95.5,95.5,95.5,95.5
2019-04-03,95.25,95.25,94.75,94.75
2019-04-04,94.75,98.0,94.0,94.0
2019-04-05,94.0,94.0,94.0,94.0
2019-04-09,94.0,94.0,94.0,94.0
2019-04-10,94.0,94.0,94.0,94.0
2019-04-11,94.0,94.0,94.0,94.0
2019-04-12,94.0,94.0,94.0,94.0
2019-04-17,94.0,94.0,94.0,94.0
2019-04-18,94.5,96.0,94.0,96.0
2019-04-19,96.0,96.0,96.0,96.0
2019-04-22,96.0,96.0,94.0,94.0
2019-04-23,94.0,94.0,94.0,94.0
2019-04-24,94.0,94.0,94.0,94.0
2019-04-25,94.0,94.0,94.0,94.0
2019-04-26,94.0,94.0,94.0,94.0
2019-04-29,94.0,94.0,94.0,94.0
2019-04-30,96.75,96.75,95.0,95.0
2019-05-02,95.0,95.0,95.0,95.0
2019-05-03,95.0,95.0,95.0,95.0
2019-05-07,95.0,95.0,95.0,95.0
2019-05-08,95.0,95.0,95.0,95.0
2019-05-09,97.75,97.75,97.75,97.75
2019-05-10,98.0,98.0,95.5,95.5
2019-05-13,96.0,99.5,96.0,98.0
2019-05-14,98.0,98.0,95.5,95.5
2019-05-15,95.5,95.5,95.25,95.25
2019-05-16,95.5,95.5,95.5,95.5
2019-05-17,95.5,95.5,95.5,95.5
2019-05-21,95.25,95.25,95.25,95.25
2019-05-22,95.25,96.0,95.25,96.0
2019-05-23,96.0,96.0,96.0,96.0
2019-05-24,95.25,96.5,95.25,96.5
2019-05-27,96.0,96.25,95.75,95.75
2019-05-28,96.0,96.0,96.0,96.0
2019-05-29,95.75,96.0,95.75,96.0
2019-05-30,96.0,96.0,96.0,96.0
2019-05-31,95.75,95.75,95.75,95.75
2019-06-04,95.75,95.75,95.5,95.5
2019-06-05,95.5,95.5,95.5,95.5
2019-06-06,95.25,95.25,95.25,95.25
2019-06-07,95.25,95.25,95.25,95.25
2019-06-10,95.25,95.5,95.25,95.5
2019-06-11,95.5,95.5,95.25,95.25
2019-06-12,95.25,95.25,95.25,95.25
2019-06-13,95.25,95.25,94.75,94.75
2019-06-14,94.75,94.75,94.75,94.75
2019-06-17,95.0,95.0,94.75,94.75
2019-06-18,94.75,94.75,94.75,94.75
2019-06-19,94.75,94.75,94.75,94.75
2019-06-20,95.0,95.0,95.0,95.0
2019-06-21,95.0,95.0,94.75,95.0
2019-06-24,95.0,95.0,95.0,95.0
2019-06-25,94.75,94.75,94.75,94.75
2019-06-26,96.0,96.0,95.75,95.75
2019-06-27,95.5,95.5,95.5,95.5
2019-06-28,95.0,95.25,94.75,94.75
2019-07-01,96.5,97.0,96.5,97.0
2019-07-02,96.75,96.75,95.0,95.0
2019-07-03,95.0,95.0,94.0,94.0
2019-07-04,96.5,96.5,94.0,94.0
2019-07-05,94.0,94.0,94.0,94.0
2019-07-08,94.0,94.0,93.75,93.75
2019-07-09,93.75,93.75,93.75,93.75
